season,holiday,workingday,weather,temp,humidity,windspeed,registered,count,date,years,months,days,hours,is_night
1,0,0,3,13.94,81,11.0014,55,74,1,2011,1,2,15,1
1,0,0,3,13.94,71,11.0014,67,76,1,2011,1,2,16,1
1,0,0,1,13.94,57,12.998,58,65,1,2011,1,2,17,1
1,0,0,2,14.76,46,22.0028,43,53,1,2011,1,2,18,1
1,0,0,1,13.12,42,30.0026,29,30,1,2011,1,2,19,1
1,0,0,1,12.3,39,23.9994,17,22,1,2011,1,2,20,1
1,0,0,1,10.66,44,22.0028,20,31,1,2011,1,2,21,0
1,0,0,1,9.84,44,19.9995,9,9,1,2011,1,2,22,0
1,0,0,1,9.02,47,11.0014,8,8,1,2011,1,2,23,0
1,0,1,1,9.02,44,23.9994,5,5,2,2011,1,3,0,0
1,0,1,1,8.2,44,27.9993,2,2,2,2011,1,3,1,0
1,0,1,1,6.56,47,26.0027,1,1,2,2011,1,3,4,0
1,0,1,1,6.56,47,19.0012,3,3,2,2011,1,3,5,0
1,0,1,1,5.74,50,26.0027,30,30,2,2011,1,3,6,1
1,0,1,1,5.74,50,12.998,63,64,2,2011,1,3,7,1
1,0,1,1,5.74,50,19.0012,153,154,2,2011,1,3,8,1
1,0,1,1,6.56,43,26.0027,81,88,2,2011,1,3,9,1
1,0,1,1,7.38,43,16.9979,33,44,2,2011,1,3,10,1
1,0,1,1,8.2,40,22.0028,41,51,2,2011,1,3,11,1
1,0,1,1,9.02,35,19.9995,48,61,2,2011,1,3,12,1
1,0,1,1,9.84,35,19.0012,53,61,2,2011,1,3,13,1
1,0,1,1,10.66,30,19.0012,66,77,2,2011,1,3,14,1
1,0,1,1,10.66,30,16.9979,58,72,2,2011,1,3,15,1
1,0,1,1,10.66,30,16.9979,67,76,2,2011,1,3,16,1
1,0,1,1,9.84,30,15.0013,146,157,2,2011,1,3,17,1
1,0,1,1,9.84,32,7.0015,148,157,2,2011,1,3,18,1
1,0,1,1,8.2,47,0.0,102,110,2,2011,1,3,19,1
1,0,1,1,8.2,47,7.0015,49,52,2,2011,1,3,20,1
1,0,1,1,7.38,64,8.9981,49,52,2,2011,1,3,21,0
1,0,1,1,5.74,69,8.9981,20,20,2,2011,1,3,22,0
1,0,1,1,7.38,55,7.0015,11,12,2,2011,1,3,23,0
1,0,1,1,6.56,55,7.0015,5,5,3,2011,1,4,0,0
1,0,1,1,6.56,59,7.0015,2,2,3,2011,1,4,1,0
1,0,1,1,5.74,63,8.9981,1,1,3,2011,1,4,2,0
1,0,1,1,5.74,63,6.0032,2,2,3,2011,1,4,4,0
1,0,1,1,4.92,68,7.0015,4,4,3,2011,1,4,5,0
1,0,1,1,4.92,74,7.0015,36,36,3,2011,1,4,6,1
1,0,1,1,4.92,74,8.9981,92,94,3,2011,1,4,7,1
1,0,1,1,5.74,69,11.0014,177,179,3,2011,1,4,8,1
1,0,1,1,6.56,64,15.0013,98,100,3,2011,1,4,9,1
1,0,1,2,6.56,69,22.0028,37,42,3,2011,1,4,10,1
1,0,1,1,9.02,51,19.9995,50,57,3,2011,1,4,11,1
1,0,1,1,9.02,51,11.0014,66,78,3,2011,1,4,12,1
1,0,1,1,9.84,56,12.998,79,97,3,2011,1,4,13,1
1,0,1,1,10.66,52,15.0013,54,63,3,2011,1,4,14,1
1,0,1,1,11.48,52,16.9979,48,65,3,2011,1,4,15,1
1,0,1,1,12.3,49,16.9979,68,83,3,2011,1,4,16,1
1,0,1,1,11.48,48,15.0013,202,212,3,2011,1,4,17,1
1,0,1,1,10.66,48,12.998,179,182,3,2011,1,4,18,1
1,0,1,1,9.84,48,7.0015,110,112,3,2011,1,4,19,1
1,0,1,1,9.84,48,7.0015,53,54,3,2011,1,4,20,1
1,0,1,1,9.02,64,0.0,48,48,3,2011,1,4,21,0
1,0,1,1,9.02,64,6.0032,34,35,3,2011,1,4,22,0
1,0,1,1,8.2,69,6.0032,9,11,3,2011,1,4,23,0
1,0,1,1,8.2,64,0.0,6,6,4,2011,1,5,0,0
1,0,1,1,6.56,74,6.0032,6,6,4,2011,1,5,1,0
1,0,1,1,6.56,74,6.0032,2,2,4,2011,1,5,2,0
1,0,1,1,9.84,48,15.0013,2,2,4,2011,1,5,4,0
1,0,1,1,9.02,47,11.0014,3,3,4,2011,1,5,5,0
1,0,1,1,8.2,47,15.0013,33,33,4,2011,1,5,6,1
1,0,1,1,7.38,43,12.998,87,88,4,2011,1,5,7,1
1,0,1,1,8.2,40,19.9995,192,195,4,2011,1,5,8,1
1,0,1,1,9.02,37,22.0028,109,115,4,2011,1,5,9,1
1,0,1,1,9.02,37,22.0028,53,57,4,2011,1,5,10,1
1,0,1,1,10.66,33,22.0028,34,46,4,2011,1,5,11,1
1,0,1,1,10.66,33,22.0028,74,79,4,2011,1,5,12,1
1,0,1,1,11.48,30,19.9995,65,71,4,2011,1,5,13,1
1,0,1,1,12.3,28,12.998,52,62,4,2011,1,5,14,1
1,0,1,1,12.3,28,12.998,55,62,4,2011,1,5,15,1
1,0,1,1,12.3,28,6.0032,85,89,4,2011,1,5,16,1
1,0,1,1,9.84,38,12.998,186,190,4,2011,1,5,17,1
1,0,1,1,9.84,38,8.9981,166,169,4,2011,1,5,18,1
1,0,1,1,9.84,38,7.0015,127,132,4,2011,1,5,19,1
1,0,1,1,9.02,47,11.0014,82,89,4,2011,1,5,20,1
1,0,1,1,8.2,51,12.998,40,43,4,2011,1,5,21,0
1,0,1,1,7.38,55,8.9981,41,42,4,2011,1,5,22,0
1,0,1,1,8.2,47,0.0,18,19,4,2011,1,5,23,0
1,0,1,1,7.38,55,0.0,11,11,5,2011,1,6,0,0
1,0,1,1,6.56,64,0.0,4,4,5,2011,1,6,1,0
1,0,1,1,6.56,64,0.0,2,2,5,2011,1,6,2,0
1,0,1,2,6.56,64,6.0032,1,1,5,2011,1,6,4,0
1,0,1,2,5.74,69,6.0032,4,4,5,2011,1,6,5,0
1,0,1,2,5.74,63,7.0015,36,36,5,2011,1,6,6,1
1,0,1,2,6.56,59,0.0,95,95,5,2011,1,6,7,1
1,0,1,1,6.56,59,0.0,216,219,5,2011,1,6,8,1
1,0,1,2,7.38,51,0.0,116,122,5,2011,1,6,9,1
1,0,1,1,8.2,47,0.0,42,45,5,2011,1,6,10,1
1,0,1,1,9.02,44,6.0032,57,59,5,2011,1,6,11,1
1,0,1,1,10.66,35,0.0,78,84,5,2011,1,6,12,1
1,0,1,1,10.66,35,7.0015,55,67,5,2011,1,6,13,1
1,0,1,1,11.48,36,11.0014,59,70,5,2011,1,6,14,1
1,0,1,1,11.48,36,0.0,54,62,5,2011,1,6,15,1
1,0,1,1,10.66,38,11.0014,74,86,5,2011,1,6,16,1
1,0,1,1,9.02,51,11.0014,163,172,5,2011,1,6,17,1
1,0,1,1,9.02,51,8.9981,158,163,5,2011,1,6,18,1
1,0,1,1,9.02,55,6.0032,109,112,5,2011,1,6,19,1
1,0,1,1,8.2,51,11.0014,66,69,5,2011,1,6,20,1
1,0,1,2,9.02,55,15.0013,48,48,5,2011,1,6,21,0
1,0,1,2,9.02,51,19.0012,51,52,5,2011,1,6,22,0
1,0,1,2,8.2,59,12.998,19,23,5,2011,1,6,23,0
1,0,1,2,8.2,64,12.998,13,17,6,2011,1,7,0,0
1,0,1,2,8.2,69,15.0013,5,7,6,2011,1,7,1,0
1,0,1,2,8.2,69,15.0013,1,1,6,2011,1,7,2,0
1,0,1,2,8.2,69,8.9981,1,1,6,2011,1,7,4,0
1,0,1,3,9.02,55,0.0,5,5,6,2011,1,7,5,0
1,0,1,2,8.2,69,0.0,26,34,6,2011,1,7,6,1
1,0,1,1,8.2,69,8.9981,76,84,6,2011,1,7,7,1
1,0,1,1,8.2,51,16.9979,190,210,6,2011,1,7,8,1
1,0,1,1,8.2,47,19.9995,125,134,6,2011,1,7,9,1
1,0,1,1,9.02,37,22.0028,47,63,6,2011,1,7,10,1
1,0,1,2,8.2,40,15.0013,48,67,6,2011,1,7,11,1
1,0,1,2,8.2,37,16.9979,50,59,6,2011,1,7,12,1
1,0,1,2,8.2,37,19.0012,64,73,6,2011,1,7,13,1
1,0,1,2,8.2,40,16.9979,43,50,6,2011,1,7,14,1
1,0,1,2,8.2,37,11.0014,63,72,6,2011,1,7,15,1
1,0,1,2,8.2,37,11.0014,82,87,6,2011,1,7,16,1
1,0,1,2,8.2,37,0.0,178,187,6,2011,1,7,17,1
1,0,1,1,8.2,40,6.0032,116,123,6,2011,1,7,18,1
1,0,1,1,6.56,55,6.0032,92,95,6,2011,1,7,19,1
1,0,1,1,7.38,47,7.0015,50,51,6,2011,1,7,20,1
1,0,1,1,7.38,47,8.9981,39,39,6,2011,1,7,21,0
1,0,1,2,7.38,43,11.0014,34,36,6,2011,1,7,22,0
1,0,1,2,7.38,51,11.0014,14,15,6,2011,1,7,23,0
1,0,0,2,7.38,51,11.0014,24,25,7,2011,1,8,0,0
1,0,0,2,7.38,55,6.0032,15,16,7,2011,1,8,1,0
1,0,0,2,7.38,55,0.0,13,16,7,2011,1,8,2,0
1,0,0,3,7.38,55,11.0014,7,7,7,2011,1,8,3,0
1,0,0,3,7.38,55,11.0014,1,1,7,2011,1,8,4,0
1,0,0,2,6.56,74,11.0014,5,5,7,2011,1,8,5,0
1,0,0,2,6.56,74,11.0014,2,2,7,2011,1,8,6,1
1,0,0,2,6.56,74,7.0015,8,9,7,2011,1,8,7,1
1,0,0,3,6.56,93,7.0015,15,15,7,2011,1,8,8,1
1,0,0,3,6.56,93,7.0015,20,20,7,2011,1,8,9,1
1,0,0,2,7.38,80,11.0014,56,61,7,2011,1,8,10,1
1,0,0,2,8.2,69,26.0027,60,62,7,2011,1,8,11,1
1,0,0,2,8.2,59,23.9994,90,98,7,2011,1,8,12,1
1,0,0,1,8.2,44,22.0028,95,102,7,2011,1,8,13,1
1,0,0,1,8.2,32,32.9975,83,95,7,2011,1,8,14,1
1,0,0,1,8.2,32,30.0026,69,74,7,2011,1,8,15,1
1,0,0,1,7.38,29,30.0026,68,76,7,2011,1,8,16,1
1,0,0,1,6.56,37,36.9974,64,69,7,2011,1,8,17,1
1,0,0,1,5.74,39,19.9995,52,55,7,2011,1,8,18,1
1,0,0,1,5.74,36,16.9979,26,30,7,2011,1,8,19,1
1,0,0,1,4.92,36,16.9979,28,28,7,2011,1,8,20,1
1,0,0,1,4.92,39,23.9994,35,37,7,2011,1,8,21,0
1,0,0,1,4.92,36,26.0027,33,34,7,2011,1,8,22,0
1,0,0,1,4.1,39,30.0026,22,22,7,2011,1,8,23,0
1,0,0,1,4.1,42,26.0027,24,25,8,2011,1,9,0,0
1,0,0,1,4.1,42,31.0009,12,12,8,2011,1,9,1,0
1,0,0,1,4.1,46,31.0009,11,11,8,2011,1,9,2,0
1,0,0,1,4.1,46,27.9993,4,4,8,2011,1,9,3,0
1,0,0,1,3.28,53,12.998,1,1,8,2011,1,9,4,0
1,0,0,1,3.28,53,12.998,1,1,8,2011,1,9,5,0
1,0,0,1,4.1,49,19.0012,1,1,8,2011,1,9,6,1
1,0,0,1,3.28,53,12.998,5,6,8,2011,1,9,7,1
1,0,0,1,4.1,49,19.0012,10,10,8,2011,1,9,8,1
1,0,0,1,4.92,46,35.0008,19,19,8,2011,1,9,9,1
1,0,0,1,5.74,43,26.0027,49,49,8,2011,1,9,10,1
1,0,0,1,6.56,40,35.0008,47,49,8,2011,1,9,11,1
1,0,0,1,7.38,37,30.0026,79,83,8,2011,1,9,12,1
1,0,0,1,8.2,34,30.0026,69,75,8,2011,1,9,13,1
1,0,0,1,9.02,32,31.0009,64,72,8,2011,1,9,14,1
1,0,0,1,9.02,35,23.9994,77,82,8,2011,1,9,15,1
1,0,0,1,8.2,34,30.0026,79,92,8,2011,1,9,16,1
1,0,0,1,7.38,37,26.0027,59,62,8,2011,1,9,17,1
1,0,0,1,6.56,40,22.0028,44,48,8,2011,1,9,18,1
1,0,0,1,6.56,43,22.0028,40,41,8,2011,1,9,19,1
1,0,0,1,5.74,46,16.9979,38,38,8,2011,1,9,20,1
1,0,0,1,5.74,46,27.9993,19,20,8,2011,1,9,21,0
1,0,0,1,5.74,46,19.9995,10,15,8,2011,1,9,22,0
1,0,0,1,4.92,50,12.998,6,6,8,2011,1,9,23,0
1,0,1,1,4.92,50,19.0012,3,5,9,2011,1,10,0,0
1,0,1,1,4.92,50,19.0012,0,1,9,2011,1,10,1,0
1,0,1,1,4.92,50,15.0013,3,3,9,2011,1,10,2,0
1,0,1,1,4.92,50,15.0013,1,1,9,2011,1,10,3,0
1,0,1,1,4.1,54,8.9981,2,3,9,2011,1,10,4,0
1,0,1,1,4.1,54,16.9979,3,3,9,2011,1,10,5,0
1,0,1,1,4.92,50,19.0012,31,31,9,2011,1,10,6,1
1,0,1,1,4.92,50,15.0013,75,77,9,2011,1,10,7,1
1,0,1,2,4.92,50,19.0012,184,188,9,2011,1,10,8,1
1,0,1,2,5.74,50,16.9979,92,94,9,2011,1,10,9,1
1,0,1,2,5.74,50,19.9995,31,31,9,2011,1,10,10,1
1,0,1,2,6.56,47,19.0012,28,30,9,2011,1,10,11,1
1,0,1,2,8.2,40,19.0012,47,52,9,2011,1,10,12,1
1,0,1,2,8.2,40,19.0012,50,54,9,2011,1,10,13,1
1,0,1,2,8.2,40,15.0013,47,47,9,2011,1,10,14,1
1,0,1,2,8.2,40,15.0013,43,45,9,2011,1,10,15,1
1,0,1,1,8.2,40,8.9981,70,74,9,2011,1,10,16,1
1,0,1,1,8.2,40,7.0015,174,178,9,2011,1,10,17,1
1,0,1,1,8.2,40,15.0013,154,155,9,2011,1,10,18,1
1,0,1,1,6.56,47,11.0014,92,95,9,2011,1,10,19,1
1,0,1,1,6.56,50,11.0014,73,74,9,2011,1,10,20,1
1,0,1,1,5.74,59,12.998,37,38,9,2011,1,10,21,0
1,0,1,1,5.74,59,11.0014,22,24,9,2011,1,10,22,0
1,0,1,1,5.74,59,11.0014,18,18,9,2011,1,10,23,0
1,0,1,1,5.74,59,7.0015,10,12,10,2011,1,11,0,0
1,0,1,1,5.74,59,11.0014,3,3,10,2011,1,11,1,0
1,0,1,2,6.56,55,12.998,3,3,10,2011,1,11,2,0
1,0,1,2,6.56,55,8.9981,6,6,10,2011,1,11,5,0
1,0,1,2,6.56,55,8.9981,27,27,10,2011,1,11,6,1
1,0,1,2,6.56,55,0.0,97,99,10,2011,1,11,7,1
1,0,1,2,7.38,51,6.0032,214,217,10,2011,1,11,8,1
1,0,1,2,7.38,51,11.0014,127,130,10,2011,1,11,9,1
1,0,1,2,8.2,51,11.0014,51,54,10,2011,1,11,10,1
1,0,1,2,8.2,47,8.9981,31,35,10,2011,1,11,11,1
1,0,1,2,8.2,51,7.0015,55,57,10,2011,1,11,12,1
1,0,1,2,8.2,59,6.0032,46,52,10,2011,1,11,13,1
1,0,1,2,8.2,59,6.0032,60,63,10,2011,1,11,14,1
1,0,1,2,6.56,80,6.0032,45,47,10,2011,1,11,15,1
1,0,1,2,6.56,86,15.0013,72,76,10,2011,1,11,16,1
1,0,1,2,6.56,86,15.0013,130,136,10,2011,1,11,17,1
1,0,1,3,6.56,93,7.0015,94,95,10,2011,1,11,18,1
1,0,1,3,6.56,93,0.0,51,51,10,2011,1,11,19,1
1,0,1,3,6.56,93,12.998,32,32,10,2011,1,11,20,1
1,0,1,3,6.56,86,6.0032,20,20,10,2011,1,11,21,0
1,0,1,3,6.56,93,7.0015,28,29,10,2011,1,11,22,0
1,0,1,3,6.56,93,6.0032,18,19,10,2011,1,11,23,0
1,0,1,2,6.56,86,6.0032,7,7,11,2011,1,12,0,0
1,0,1,2,6.56,86,7.0015,6,6,11,2011,1,12,1,0
1,0,1,1,5.74,86,8.9981,1,1,11,2011,1,12,2,0
1,0,1,1,5.74,86,11.0014,5,5,11,2011,1,12,5,0
1,0,1,1,4.92,93,8.9981,16,16,11,2011,1,12,6,1
1,0,1,1,5.74,69,8.9981,54,54,11,2011,1,12,7,1
1,0,1,1,6.56,59,11.0014,125,128,11,2011,1,12,8,1
1,0,1,1,6.56,59,22.0028,78,81,11,2011,1,12,9,1
1,0,1,1,7.38,55,15.0013,39,39,11,2011,1,12,10,1
1,0,1,1,8.2,51,26.0027,32,35,11,2011,1,12,11,1
1,0,1,1,8.2,47,39.0007,52,55,11,2011,1,12,12,1
1,0,1,1,9.02,44,23.9994,49,49,11,2011,1,12,13,1
1,0,1,1,8.2,47,22.0028,44,44,11,2011,1,12,14,1
1,0,1,1,8.2,47,27.9993,48,49,11,2011,1,12,15,1
1,0,1,1,9.02,44,22.0028,63,68,11,2011,1,12,16,1
1,0,1,1,8.2,47,23.9994,139,139,11,2011,1,12,17,1
1,0,1,1,8.2,47,35.0008,135,137,11,2011,1,12,18,1
1,0,1,1,7.38,47,27.9993,82,83,11,2011,1,12,19,1
1,0,1,1,6.56,50,22.0028,54,56,11,2011,1,12,20,1
1,0,1,1,6.56,55,22.0028,57,57,11,2011,1,12,21,0
1,0,1,1,6.56,55,30.0026,32,33,11,2011,1,12,22,0
1,0,1,1,5.74,59,27.9993,19,20,11,2011,1,12,23,0
1,0,1,1,5.74,59,19.0012,6,7,12,2011,1,13,0,0
1,0,1,1,5.74,50,19.0012,2,2,12,2011,1,13,1,0
1,0,1,1,5.74,50,23.9994,2,2,12,2011,1,13,2,0
1,0,1,1,5.74,50,22.0028,3,3,12,2011,1,13,3,0
1,0,1,1,5.74,50,16.9979,4,4,12,2011,1,13,4,0
1,0,1,1,5.74,50,19.9995,3,3,12,2011,1,13,5,0
1,0,1,1,4.92,54,8.9981,28,28,12,2011,1,13,6,1
1,0,1,1,4.92,54,8.9981,72,72,12,2011,1,13,7,1
1,0,1,1,5.74,50,12.998,197,202,12,2011,1,13,8,1
1,0,1,1,5.74,50,22.0028,137,139,12,2011,1,13,9,1
1,0,1,2,6.56,50,23.9994,36,38,12,2011,1,13,10,1
1,0,1,2,8.2,44,30.0026,33,37,12,2011,1,13,11,1
1,0,1,1,8.2,44,27.9993,49,52,12,2011,1,13,12,1
1,0,1,1,9.02,41,30.0026,81,83,12,2011,1,13,13,1
1,0,1,1,9.02,41,26.0027,39,42,12,2011,1,13,14,1
1,0,1,1,9.84,38,19.9995,55,60,12,2011,1,13,15,1
1,0,1,1,9.84,38,23.9994,76,78,12,2011,1,13,16,1
1,0,1,1,8.2,40,19.0012,158,162,12,2011,1,13,17,1
1,0,1,1,8.2,40,22.0028,141,144,12,2011,1,13,18,1
1,0,1,1,6.56,47,16.9979,98,99,12,2011,1,13,19,1
1,0,1,1,6.56,47,15.0013,64,64,12,2011,1,13,20,1
1,0,1,1,5.74,46,19.9995,40,40,12,2011,1,13,21,0
1,0,1,1,5.74,46,22.0028,30,30,12,2011,1,13,22,0
1,0,1,1,4.92,50,12.998,14,15,12,2011,1,13,23,0
1,0,1,1,4.92,50,12.998,14,14,13,2011,1,14,0,0
1,0,1,1,4.1,54,11.0014,5,5,13,2011,1,14,1,0
1,0,1,1,4.1,54,8.9981,1,1,13,2011,1,14,2,0
1,0,1,1,4.1,54,7.0015,1,1,13,2011,1,14,3,0
1,0,1,1,4.1,54,6.0032,8,8,13,2011,1,14,5,0
1,0,1,1,4.1,54,0.0,17,17,13,2011,1,14,6,1
1,0,1,1,4.1,74,11.0014,70,70,13,2011,1,14,7,1
1,0,1,1,4.92,68,0.0,156,158,13,2011,1,14,8,1
1,0,1,1,5.74,69,8.9981,117,117,13,2011,1,14,9,1
1,0,1,1,7.38,55,12.998,40,44,13,2011,1,14,10,1
1,0,1,1,7.38,51,19.0012,47,53,13,2011,1,14,11,1
1,0,1,1,8.2,44,16.9979,59,61,13,2011,1,14,12,1
1,0,1,1,9.02,37,26.0027,73,77,13,2011,1,14,13,1
1,0,1,1,9.02,41,19.0012,59,64,13,2011,1,14,14,1
1,0,1,1,9.84,38,11.0014,59,68,13,2011,1,14,15,1
1,0,1,1,9.02,41,7.0015,87,90,13,2011,1,14,16,1
1,0,1,1,9.02,41,11.0014,155,159,13,2011,1,14,17,1
1,0,1,1,8.2,47,0.0,134,139,13,2011,1,14,18,1
1,0,1,1,6.56,59,6.0032,89,92,13,2011,1,14,19,1
1,0,1,1,7.38,59,0.0,68,68,13,2011,1,14,20,0
1,0,1,1,6.56,69,0.0,48,52,13,2011,1,14,21,0
1,0,1,2,6.56,69,0.0,34,36,13,2011,1,14,22,0
1,0,1,2,7.38,55,0.0,26,27,13,2011,1,14,23,0
1,0,0,1,7.38,55,0.0,25,28,14,2011,1,15,0,0
1,0,0,2,6.56,59,6.0032,18,20,14,2011,1,15,1,0
1,0,0,2,6.56,59,6.0032,12,12,14,2011,1,15,2,0
1,0,0,2,6.56,59,0.0,7,8,14,2011,1,15,3,0
1,0,0,2,6.56,59,0.0,5,5,14,2011,1,15,4,0
1,0,0,1,6.56,59,0.0,1,1,14,2011,1,15,5,0
1,0,0,1,5.74,63,7.0015,2,3,14,2011,1,15,6,1
1,0,0,1,5.74,63,0.0,9,10,14,2011,1,15,7,1
1,0,0,1,5.74,63,8.9981,22,23,14,2011,1,15,8,1
1,0,0,1,6.56,64,8.9981,31,33,14,2011,1,15,9,1
1,0,0,1,7.38,59,11.0014,57,59,14,2011,1,15,10,1
1,0,0,1,8.2,55,15.0013,54,72,14,2011,1,15,11,1
1,0,0,1,9.84,48,15.0013,74,89,14,2011,1,15,12,1
1,0,0,1,11.48,38,19.9995,80,101,14,2011,1,15,13,1
1,0,0,1,12.3,39,19.0012,92,118,14,2011,1,15,14,1
1,0,0,2,13.12,36,12.998,108,129,14,2011,1,15,15,1
1,0,0,2,13.94,34,12.998,95,128,14,2011,1,15,16,1
1,0,0,2,13.12,36,19.0012,54,83,14,2011,1,15,17,1
1,0,0,2,12.3,45,16.9979,69,84,14,2011,1,15,18,1
1,0,0,2,13.12,39,16.9979,60,74,14,2011,1,15,19,1
1,0,0,2,13.12,39,16.9979,35,41,14,2011,1,15,20,0
1,0,0,2,13.12,39,15.0013,51,57,14,2011,1,15,21,0
1,0,0,2,12.3,42,7.0015,26,26,14,2011,1,15,22,0
1,0,0,1,12.3,45,19.0012,39,44,14,2011,1,15,23,0
1,0,0,1,10.66,56,0.0,33,39,15,2011,1,16,0,0
1,0,0,1,10.66,56,8.9981,19,23,15,2011,1,16,1,0
1,0,0,1,10.66,56,6.0032,13,16,15,2011,1,16,2,0
1,0,0,1,9.02,69,0.0,6,15,15,2011,1,16,3,0
1,0,0,1,10.66,56,11.0014,1,1,15,2011,1,16,4,0
1,0,0,2,10.66,56,11.0014,1,2,15,2011,1,16,5,0
1,0,0,2,10.66,56,11.0014,1,1,15,2011,1,16,6,1
1,0,0,2,9.84,56,19.9995,3,3,15,2011,1,16,7,1
1,0,0,1,9.02,55,19.0012,18,18,15,2011,1,16,8,1
1,0,0,1,9.02,51,16.9979,29,32,15,2011,1,16,9,1
1,0,0,1,9.02,51,19.0012,71,79,15,2011,1,16,10,1
1,0,0,1,9.84,44,16.9979,70,93,15,2011,1,16,11,1
1,0,0,1,9.84,41,19.0012,75,104,15,2011,1,16,12,1
1,0,0,1,10.66,35,19.9995,95,118,15,2011,1,16,13,1
1,0,0,1,11.48,36,16.9979,69,91,15,2011,1,16,14,1
1,0,0,1,10.66,38,16.9979,78,113,15,2011,1,16,15,1
1,0,0,1,9.84,38,15.0013,77,99,15,2011,1,16,16,1
1,0,0,1,9.02,37,16.9979,82,105,15,2011,1,16,17,1
1,0,0,1,8.2,40,11.0014,56,67,15,2011,1,16,18,1
1,0,0,1,7.38,47,8.9981,47,61,15,2011,1,16,19,1
1,0,0,1,7.38,47,11.0014,50,57,15,2011,1,16,20,0
1,0,0,1,7.38,51,11.0014,22,28,15,2011,1,16,21,0
1,0,0,2,8.2,49,8.9981,19,21,15,2011,1,16,22,0
1,0,0,2,8.2,40,7.0015,18,18,15,2011,1,16,23,0
1,1,0,2,8.2,47,15.0013,16,17,16,2011,1,17,0,0
1,1,0,2,8.2,44,12.998,15,16,16,2011,1,17,1,0
1,1,0,2,7.38,43,16.9979,8,8,16,2011,1,17,2,0
1,1,0,2,7.38,43,12.998,2,2,16,2011,1,17,3,0
1,1,0,2,7.38,43,8.9981,2,3,16,2011,1,17,4,0
1,1,0,2,7.38,43,11.0014,1,1,16,2011,1,17,5,0
1,1,0,2,7.38,43,12.998,5,5,16,2011,1,17,6,1
1,1,0,2,6.56,50,8.9981,9,13,16,2011,1,17,7,1
1,1,0,2,6.56,47,15.0013,30,33,16,2011,1,17,8,1
1,1,0,2,6.56,47,15.0013,39,47,16,2011,1,17,9,1
1,1,0,2,6.56,50,16.9979,50,57,16,2011,1,17,10,1
1,1,0,2,6.56,55,12.998,55,64,16,2011,1,17,11,1
1,1,0,2,7.38,47,8.9981,70,80,16,2011,1,17,12,1
1,1,0,2,7.38,47,8.9981,80,93,16,2011,1,17,13,1
1,1,0,2,7.38,43,7.0015,74,86,16,2011,1,17,14,1
1,1,0,2,8.2,47,11.0014,72,93,16,2011,1,17,15,1
