season,holiday,workingday,weather,temp,humidity,windspeed,count,date,years,months,days,hours,is_night
1,0,1,1,6.56,64,0.0,2,5,2011,1,6,2,0
1,0,1,2,6.56,64,6.0032,1,5,2011,1,6,4,0
1,0,1,2,5.74,69,6.0032,4,5,2011,1,6,5,0
1,0,1,2,5.74,63,7.0015,36,5,2011,1,6,6,Set
1,0,1,2,6.56,59,0.0,95,5,2011,1,6,7,1
1,0,1,1,6.56,59,0.0,219,5,2011,1,6,8,1
1,0,1,2,7.38,51,0.0,122,5,2011,1,6,9,1
1,0,1,1,8.2,47,0.0,45,5,2011,1,6,10,1
1,0,1,1,9.02,44,6.0032,59,5,2011,1,6,11,1
1,0,1,1,10.66,35,0.0,84,5,2011,1,6,12,1
1,0,1,1,10.66,35,7.0015,67,5,2011,1,6,13,1
1,0,1,1,11.48,36,11.0014,70,5,2011,1,6,14,1
1,0,1,1,11.48,36,0.0,62,5,2011,1,6,15,1
1,0,1,1,10.66,38,11.0014,86,5,2011,1,6,16,1
1,0,1,1,9.02,51,11.0014,172,5,2011,1,6,17,1
1,0,1,1,9.02,51,8.9981,163,5,2011,1,6,18,1
1,0,1,1,9.02,55,6.0032,112,5,2011,1,6,19,1
1,0,1,1,8.2,51,11.0014,69,5,2011,1,6,20,1
1,0,1,2,9.02,55,15.0013,48,5,2011,1,6,21,Rise
1,0,1,2,9.02,51,19.0012,52,5,2011,1,6,22,0
1,0,1,2,8.2,59,12.998,23,5,2011,1,6,23,0
1,0,1,2,8.2,64,12.998,17,6,2011,1,7,0,0
1,0,1,2,8.2,69,15.0013,7,6,2011,1,7,1,0
1,0,1,2,8.2,69,15.0013,1,6,2011,1,7,2,0
1,0,1,2,8.2,69,8.9981,1,6,2011,1,7,4,0
1,0,1,3,9.02,55,0.0,5,6,2011,1,7,5,0
1,0,1,2,8.2,69,0.0,34,6,2011,1,7,6,Set
1,0,1,1,8.2,69,8.9981,84,6,2011,1,7,7,1
1,0,1,1,8.2,51,16.9979,210,6,2011,1,7,8,1
1,0,1,1,8.2,47,19.9995,134,6,2011,1,7,9,1
1,0,1,1,9.02,37,22.0028,63,6,2011,1,7,10,1
1,0,1,2,8.2,40,15.0013,67,6,2011,1,7,11,1
1,0,1,2,8.2,37,16.9979,59,6,2011,1,7,12,1
1,0,1,2,8.2,37,19.0012,73,6,2011,1,7,13,1
1,0,1,2,8.2,40,16.9979,50,6,2011,1,7,14,1
1,0,1,2,8.2,37,11.0014,72,6,2011,1,7,15,1
1,0,1,2,8.2,37,11.0014,87,6,2011,1,7,16,1
1,0,1,2,8.2,37,0.0,187,6,2011,1,7,17,1
1,0,1,1,8.2,40,6.0032,123,6,2011,1,7,18,1
1,0,1,1,6.56,55,6.0032,95,6,2011,1,7,19,1
1,0,1,1,7.38,47,7.0015,51,6,2011,1,7,20,1
1,0,1,1,7.38,47,8.9981,39,6,2011,1,7,21,Rise
1,0,1,2,7.38,43,11.0014,36,6,2011,1,7,22,0
1,0,1,2,7.38,51,11.0014,15,6,2011,1,7,23,0
1,0,0,2,7.38,51,11.0014,25,7,2011,1,8,0,0
1,0,0,2,7.38,55,6.0032,16,7,2011,1,8,1,0
1,0,0,2,7.38,55,0.0,16,7,2011,1,8,2,0
1,0,0,3,7.38,55,11.0014,7,7,2011,1,8,3,0
1,0,0,3,7.38,55,11.0014,1,7,2011,1,8,4,0
1,0,0,2,6.56,74,11.0014,5,7,2011,1,8,5,0
1,0,0,2,6.56,74,11.0014,2,7,2011,1,8,6,Set
1,0,0,2,6.56,74,7.0015,9,7,2011,1,8,7,1
1,0,0,3,6.56,93,7.0015,15,7,2011,1,8,8,1
1,0,0,3,6.56,93,7.0015,20,7,2011,1,8,9,1
1,0,0,2,7.38,80,11.0014,61,7,2011,1,8,10,1
1,0,0,2,8.2,69,26.0027,62,7,2011,1,8,11,1
1,0,0,2,8.2,59,23.9994,98,7,2011,1,8,12,1
1,0,0,1,8.2,44,22.0028,102,7,2011,1,8,13,1
1,0,0,1,8.2,32,32.9975,95,7,2011,1,8,14,1
1,0,0,1,8.2,32,30.0026,74,7,2011,1,8,15,1
1,0,0,1,7.38,29,30.0026,76,7,2011,1,8,16,1
1,0,0,1,6.56,37,36.9974,69,7,2011,1,8,17,1
1,0,0,1,5.74,39,19.9995,55,7,2011,1,8,18,1
1,0,0,1,5.74,36,16.9979,30,7,2011,1,8,19,1
1,0,0,1,4.92,36,16.9979,28,7,2011,1,8,20,1
1,0,0,1,4.92,39,23.9994,37,7,2011,1,8,21,Rise
1,0,0,1,4.92,36,26.0027,34,7,2011,1,8,22,0
1,0,0,1,4.1,39,30.0026,22,7,2011,1,8,23,0
1,0,0,1,4.1,42,26.0027,25,8,2011,1,9,0,0
1,0,0,1,4.1,42,31.0009,12,8,2011,1,9,1,0
1,0,0,1,4.1,46,31.0009,11,8,2011,1,9,2,0
1,0,0,1,4.1,46,27.9993,4,8,2011,1,9,3,0
1,0,0,1,3.28,53,12.998,1,8,2011,1,9,4,0
1,0,0,1,3.28,53,12.998,1,8,2011,1,9,5,0
1,0,0,1,4.1,49,19.0012,1,8,2011,1,9,6,Set
1,0,0,1,3.28,53,12.998,6,8,2011,1,9,7,1
1,0,0,1,4.1,49,19.0012,10,8,2011,1,9,8,1
1,0,0,1,4.92,46,35.0008,19,8,2011,1,9,9,1
1,0,0,1,5.74,43,26.0027,49,8,2011,1,9,10,1
1,0,0,1,6.56,40,35.0008,49,8,2011,1,9,11,1
1,0,0,1,7.38,37,30.0026,83,8,2011,1,9,12,1
1,0,0,1,8.2,34,30.0026,75,8,2011,1,9,13,1
1,0,0,1,9.02,32,31.0009,72,8,2011,1,9,14,1
1,0,0,1,9.02,35,23.9994,82,8,2011,1,9,15,1
1,0,0,1,8.2,34,30.0026,92,8,2011,1,9,16,1
1,0,0,1,7.38,37,26.0027,62,8,2011,1,9,17,1
1,0,0,1,6.56,40,22.0028,48,8,2011,1,9,18,1
1,0,0,1,6.56,43,22.0028,41,8,2011,1,9,19,1
1,0,0,1,5.74,46,16.9979,38,8,2011,1,9,20,1
1,0,0,1,5.74,46,27.9993,20,8,2011,1,9,21,Rise
1,0,0,1,5.74,46,19.9995,15,8,2011,1,9,22,0
1,0,0,1,4.92,50,12.998,6,8,2011,1,9,23,0
1,0,1,1,4.92,50,19.0012,5,9,2011,1,10,0,0
1,0,1,1,4.92,50,19.0012,1,9,2011,1,10,1,0
1,0,1,1,4.92,50,15.0013,3,9,2011,1,10,2,0
1,0,1,1,4.92,50,15.0013,1,9,2011,1,10,3,0
1,0,1,1,4.1,54,8.9981,3,9,2011,1,10,4,0
1,0,1,1,4.1,54,16.9979,3,9,2011,1,10,5,0
1,0,1,1,4.92,50,19.0012,31,9,2011,1,10,6,Set
1,0,1,1,4.92,50,15.0013,77,9,2011,1,10,7,1
1,0,1,2,4.92,50,19.0012,188,9,2011,1,10,8,1
1,0,1,2,5.74,50,16.9979,94,9,2011,1,10,9,1
1,0,1,2,5.74,50,19.9995,31,9,2011,1,10,10,1
1,0,1,2,6.56,47,19.0012,30,9,2011,1,10,11,1
1,0,1,2,8.2,40,19.0012,52,9,2011,1,10,12,1
1,0,1,2,8.2,40,19.0012,54,9,2011,1,10,13,1
1,0,1,2,8.2,40,15.0013,47,9,2011,1,10,14,1
1,0,1,2,8.2,40,15.0013,45,9,2011,1,10,15,1
1,0,1,1,8.2,40,8.9981,74,9,2011,1,10,16,1
1,0,1,1,8.2,40,7.0015,178,9,2011,1,10,17,1
1,0,1,1,8.2,40,15.0013,155,9,2011,1,10,18,1
1,0,1,1,6.56,47,11.0014,95,9,2011,1,10,19,1
1,0,1,1,6.56,50,11.0014,74,9,2011,1,10,20,1
1,0,1,1,5.74,59,12.998,38,9,2011,1,10,21,Rise
1,0,1,1,5.74,59,11.0014,24,9,2011,1,10,22,0
1,0,1,1,5.74,59,11.0014,18,9,2011,1,10,23,0
1,0,1,1,5.74,59,7.0015,12,10,2011,1,11,0,0
1,0,1,1,5.74,59,11.0014,3,10,2011,1,11,1,0
1,0,1,2,6.56,55,12.998,3,10,2011,1,11,2,0
1,0,1,2,6.56,55,8.9981,6,10,2011,1,11,5,0
1,0,1,2,6.56,55,8.9981,27,10,2011,1,11,6,Set
1,0,1,2,6.56,55,0.0,99,10,2011,1,11,7,1
1,0,1,2,7.38,51,6.0032,217,10,2011,1,11,8,1
1,0,1,2,7.38,51,11.0014,130,10,2011,1,11,9,1
1,0,1,2,8.2,51,11.0014,54,10,2011,1,11,10,1
1,0,1,2,8.2,47,8.9981,35,10,2011,1,11,11,1
1,0,1,2,8.2,51,7.0015,57,10,2011,1,11,12,1
1,0,1,2,8.2,59,6.0032,52,10,2011,1,11,13,1
1,0,1,2,8.2,59,6.0032,63,10,2011,1,11,14,1
1,0,1,2,6.56,80,6.0032,47,10,2011,1,11,15,1
1,0,1,2,6.56,86,15.0013,76,10,2011,1,11,16,1
1,0,1,2,6.56,86,15.0013,136,10,2011,1,11,17,1
1,0,1,3,6.56,93,7.0015,95,10,2011,1,11,18,1
1,0,1,3,6.56,93,0.0,51,10,2011,1,11,19,1
1,0,1,3,6.56,93,12.998,32,10,2011,1,11,20,1
1,0,1,3,6.56,86,6.0032,20,10,2011,1,11,21,Rise
1,0,1,3,6.56,93,7.0015,29,10,2011,1,11,22,0
1,0,1,3,6.56,93,6.0032,19,10,2011,1,11,23,0
1,0,1,2,6.56,86,6.0032,7,11,2011,1,12,0,0
1,0,1,2,6.56,86,7.0015,6,11,2011,1,12,1,0
1,0,1,1,5.74,86,8.9981,1,11,2011,1,12,2,0
1,0,1,1,5.74,86,11.0014,5,11,2011,1,12,5,0
1,0,1,1,4.92,93,8.9981,16,11,2011,1,12,6,Set
1,0,1,1,5.74,69,8.9981,54,11,2011,1,12,7,1
1,0,1,1,6.56,59,11.0014,128,11,2011,1,12,8,1
1,0,1,1,6.56,59,22.0028,81,11,2011,1,12,9,1
1,0,1,1,7.38,55,15.0013,39,11,2011,1,12,10,1
1,0,1,1,8.2,51,26.0027,35,11,2011,1,12,11,1
1,0,1,1,8.2,47,39.0007,55,11,2011,1,12,12,1
1,0,1,1,9.02,44,23.9994,49,11,2011,1,12,13,1
1,0,1,1,8.2,47,22.0028,44,11,2011,1,12,14,1
1,0,1,1,8.2,47,27.9993,49,11,2011,1,12,15,1
1,0,1,1,9.02,44,22.0028,68,11,2011,1,12,16,1
1,0,1,1,8.2,47,23.9994,139,11,2011,1,12,17,1
1,0,1,1,8.2,47,35.0008,137,11,2011,1,12,18,1
1,0,1,1,7.38,47,27.9993,83,11,2011,1,12,19,1
1,0,1,1,6.56,50,22.0028,56,11,2011,1,12,20,1
1,0,1,1,6.56,55,22.0028,57,11,2011,1,12,21,Rise
1,0,1,1,6.56,55,30.0026,33,11,2011,1,12,22,0
1,0,1,1,5.74,59,27.9993,20,11,2011,1,12,23,0
1,0,1,1,5.74,59,19.0012,7,12,2011,1,13,0,0
1,0,1,1,5.74,50,19.0012,2,12,2011,1,13,1,0
1,0,1,1,5.74,50,23.9994,2,12,2011,1,13,2,0
1,0,1,1,5.74,50,22.0028,3,12,2011,1,13,3,0
1,0,1,1,5.74,50,16.9979,4,12,2011,1,13,4,0
1,0,1,1,5.74,50,19.9995,3,12,2011,1,13,5,0
1,0,1,1,4.92,54,8.9981,28,12,2011,1,13,6,Set
1,0,1,1,4.92,54,8.9981,72,12,2011,1,13,7,1
1,0,1,1,5.74,50,12.998,202,12,2011,1,13,8,1
1,0,1,1,5.74,50,22.0028,139,12,2011,1,13,9,1
1,0,1,2,6.56,50,23.9994,38,12,2011,1,13,10,1
1,0,1,2,8.2,44,30.0026,37,12,2011,1,13,11,1
1,0,1,1,8.2,44,27.9993,52,12,2011,1,13,12,1
1,0,1,1,9.02,41,30.0026,83,12,2011,1,13,13,1
1,0,1,1,9.02,41,26.0027,42,12,2011,1,13,14,1
1,0,1,1,9.84,38,19.9995,60,12,2011,1,13,15,1
1,0,1,1,9.84,38,23.9994,78,12,2011,1,13,16,1
1,0,1,1,8.2,40,19.0012,162,12,2011,1,13,17,1
1,0,1,1,8.2,40,22.0028,144,12,2011,1,13,18,1
1,0,1,1,6.56,47,16.9979,99,12,2011,1,13,19,1
1,0,1,1,6.56,47,15.0013,64,12,2011,1,13,20,1
1,0,1,1,5.74,46,19.9995,40,12,2011,1,13,21,Rise
1,0,1,1,5.74,46,22.0028,30,12,2011,1,13,22,0
1,0,1,1,4.92,50,12.998,15,12,2011,1,13,23,0
1,0,1,1,4.92,50,12.998,14,13,2011,1,14,0,0
1,0,1,1,4.1,54,11.0014,5,13,2011,1,14,1,0
1,0,1,1,4.1,54,8.9981,1,13,2011,1,14,2,0
1,0,1,1,4.1,54,7.0015,1,13,2011,1,14,3,0
1,0,1,1,4.1,54,6.0032,8,13,2011,1,14,5,0
1,0,1,1,4.1,54,0.0,17,13,2011,1,14,6,Set
1,0,1,1,4.1,74,11.0014,70,13,2011,1,14,7,1
1,0,1,1,4.92,68,0.0,158,13,2011,1,14,8,1
1,0,1,1,5.74,69,8.9981,117,13,2011,1,14,9,1
1,0,1,1,7.38,55,12.998,44,13,2011,1,14,10,1
1,0,1,1,7.38,51,19.0012,53,13,2011,1,14,11,1
1,0,1,1,8.2,44,16.9979,61,13,2011,1,14,12,1
1,0,1,1,9.02,37,26.0027,77,13,2011,1,14,13,1
1,0,1,1,9.02,41,19.0012,64,13,2011,1,14,14,1
1,0,1,1,9.84,38,11.0014,68,13,2011,1,14,15,1
1,0,1,1,9.02,41,7.0015,90,13,2011,1,14,16,1
1,0,1,1,9.02,41,11.0014,159,13,2011,1,14,17,1
1,0,1,1,8.2,47,0.0,139,13,2011,1,14,18,1
1,0,1,1,6.56,59,6.0032,92,13,2011,1,14,19,1
1,0,1,1,7.38,59,0.0,68,13,2011,1,14,20,Rise
1,0,1,1,6.56,69,0.0,52,13,2011,1,14,21,0
1,0,1,2,6.56,69,0.0,36,13,2011,1,14,22,0
1,0,1,2,7.38,55,0.0,27,13,2011,1,14,23,0
1,0,0,1,7.38,55,0.0,28,14,2011,1,15,0,0
1,0,0,2,6.56,59,6.0032,20,14,2011,1,15,1,0
1,0,0,2,6.56,59,6.0032,12,14,2011,1,15,2,0
1,0,0,2,6.56,59,0.0,8,14,2011,1,15,3,0
1,0,0,2,6.56,59,0.0,5,14,2011,1,15,4,0
1,0,0,1,6.56,59,0.0,1,14,2011,1,15,5,0
1,0,0,1,5.74,63,7.0015,3,14,2011,1,15,6,Set
1,0,0,1,5.74,63,0.0,10,14,2011,1,15,7,1
1,0,0,1,5.74,63,8.9981,23,14,2011,1,15,8,1
1,0,0,1,6.56,64,8.9981,33,14,2011,1,15,9,1
1,0,0,1,7.38,59,11.0014,59,14,2011,1,15,10,1
1,0,0,1,8.2,55,15.0013,72,14,2011,1,15,11,1
1,0,0,1,9.84,48,15.0013,89,14,2011,1,15,12,1
1,0,0,1,11.48,38,19.9995,101,14,2011,1,15,13,1
1,0,0,1,12.3,39,19.0012,118,14,2011,1,15,14,1
1,0,0,2,13.12,36,12.998,129,14,2011,1,15,15,1
1,0,0,2,13.94,34,12.998,128,14,2011,1,15,16,1
1,0,0,2,13.12,36,19.0012,83,14,2011,1,15,17,1
1,0,0,2,12.3,45,16.9979,84,14,2011,1,15,18,1
1,0,0,2,13.12,39,16.9979,74,14,2011,1,15,19,1
1,0,0,2,13.12,39,16.9979,41,14,2011,1,15,20,Rise
1,0,0,2,13.12,39,15.0013,57,14,2011,1,15,21,0
1,0,0,2,12.3,42,7.0015,26,14,2011,1,15,22,0
1,0,0,1,12.3,45,19.0012,44,14,2011,1,15,23,0
1,0,0,1,10.66,56,0.0,39,15,2011,1,16,0,0
1,0,0,1,10.66,56,8.9981,23,15,2011,1,16,1,0
1,0,0,1,10.66,56,6.0032,16,15,2011,1,16,2,0
1,0,0,1,9.02,69,0.0,15,15,2011,1,16,3,0
1,0,0,1,10.66,56,11.0014,1,15,2011,1,16,4,0
1,0,0,2,10.66,56,11.0014,2,15,2011,1,16,5,0
1,0,0,2,10.66,56,11.0014,1,15,2011,1,16,6,Set
1,0,0,2,9.84,56,19.9995,3,15,2011,1,16,7,1
1,0,0,1,9.02,55,19.0012,18,15,2011,1,16,8,1
1,0,0,1,9.02,51,16.9979,32,15,2011,1,16,9,1
1,0,0,1,9.02,51,19.0012,79,15,2011,1,16,10,1
1,0,0,1,9.84,44,16.9979,93,15,2011,1,16,11,1
1,0,0,1,9.84,41,19.0012,104,15,2011,1,16,12,1
1,0,0,1,10.66,35,19.9995,118,15,2011,1,16,13,1
1,0,0,1,11.48,36,16.9979,91,15,2011,1,16,14,1
1,0,0,1,10.66,38,16.9979,113,15,2011,1,16,15,1
1,0,0,1,9.84,38,15.0013,99,15,2011,1,16,16,1
1,0,0,1,9.02,37,16.9979,105,15,2011,1,16,17,1
1,0,0,1,8.2,40,11.0014,67,15,2011,1,16,18,1
1,0,0,1,7.38,47,8.9981,61,15,2011,1,16,19,1
1,0,0,1,7.38,47,11.0014,57,15,2011,1,16,20,Rise
1,0,0,1,7.38,51,11.0014,28,15,2011,1,16,21,0
1,0,0,2,8.2,49,8.9981,21,15,2011,1,16,22,0
1,0,0,2,8.2,40,7.0015,18,15,2011,1,16,23,0
1,1,0,2,8.2,47,15.0013,17,16,2011,1,17,0,0
1,1,0,2,8.2,44,12.998,16,16,2011,1,17,1,0
1,1,0,2,7.38,43,16.9979,8,16,2011,1,17,2,0
1,1,0,2,7.38,43,12.998,2,16,2011,1,17,3,0
1,1,0,2,7.38,43,8.9981,3,16,2011,1,17,4,0
1,1,0,2,7.38,43,11.0014,1,16,2011,1,17,5,0
1,1,0,2,7.38,43,12.998,5,16,2011,1,17,6,Set
1,1,0,2,6.56,50,8.9981,13,16,2011,1,17,7,1
1,1,0,2,6.56,47,15.0013,33,16,2011,1,17,8,1
1,1,0,2,6.56,47,15.0013,47,16,2011,1,17,9,1
1,1,0,2,6.56,50,16.9979,57,16,2011,1,17,10,1
1,1,0,2,6.56,55,12.998,64,16,2011,1,17,11,1
1,1,0,2,7.38,47,8.9981,80,16,2011,1,17,12,1
1,1,0,2,7.38,47,8.9981,93,16,2011,1,17,13,1
1,1,0,2,7.38,43,7.0015,86,16,2011,1,17,14,1
1,1,0,2,8.2,47,11.0014,93,16,2011,1,17,15,1
1,1,0,2,8.2,47,11.0014,82,16,2011,1,17,16,1
1,1,0,1,8.2,51,12.998,71,16,2011,1,17,17,1
1,1,0,2,7.38,55,16.9979,92,16,2011,1,17,18,1
1,1,0,3,7.38,59,12.998,60,16,2011,1,17,19,1
1,1,0,3,6.56,80,12.998,33,16,2011,1,17,20,Rise
1,1,0,3,6.56,80,12.998,27,16,2011,1,17,21,0
1,1,0,3,5.74,93,16.9979,13,16,2011,1,17,22,0
1,1,0,3,6.56,86,19.0012,4,16,2011,1,17,23,0
1,0,1,2,8.2,86,22.0028,3,17,2011,1,18,12,0
1,0,1,2,8.2,86,15.0013,22,17,2011,1,18,13,0
1,0,1,2,9.02,80,11.0014,28,17,2011,1,18,14,0
1,0,1,2,9.02,87,11.0014,35,17,2011,1,18,15,0
1,0,1,2,9.02,87,12.998,61,17,2011,1,18,16,0
1,0,1,2,9.02,82,12.998,125,17,2011,1,18,17,0
1,0,1,2,9.02,80,11.0014,133,17,2011,1,18,18,0
1,0,1,2,9.02,80,8.9981,99,17,2011,1,18,19,0
1,0,1,2,9.02,87,0.0,83,17,2011,1,18,20,Rise
1,0,1,2,9.02,93,7.0015,41,17,2011,1,18,21,0
1,0,1,2,9.02,93,6.0032,33,17,2011,1,18,22,0
1,0,1,2,9.02,93,0.0,20,17,2011,1,18,23,0
1,0,1,2,9.02,93,0.0,3,18,2011,1,19,0,0
1,0,1,3,9.02,93,8.9981,7,18,2011,1,19,1,0
