season,holiday,workingday,weather,temp,humidity,windspeed,casual,count,date,years,months,days,hours,is_night
1,0,0,1,13.12,42,30.0026,1,30,1,2011,1,2,19,1
1,0,0,1,12.3,39,23.9994,5,22,1,2011,1,2,20,1
1,0,0,1,10.66,44,22.0028,11,31,1,2011,1,2,21,1
1,0,0,1,9.84,44,19.9995,0,9,1,2011,1,2,22,1
1,0,0,1,9.02,47,11.0014,0,8,1,2011,1,2,23,1
1,0,1,1,9.02,44,23.9994,0,5,2,2011,1,3,0,1
1,0,1,1,8.2,44,27.9993,0,2,2,2011,1,3,1,1
1,0,1,1,6.56,47,26.0027,0,1,2,2011,1,3,4,1
1,0,1,1,6.56,47,19.0012,0,3,2,2011,1,3,5,1
1,0,1,1,5.74,50,26.0027,0,30,2,2011,1,3,6,1
1,0,1,1,5.74,50,12.998,1,64,2,2011,1,3,7,1
1,0,1,1,5.74,50,19.0012,1,154,2,2011,1,3,8,1
1,0,1,1,6.56,43,26.0027,7,88,2,2011,1,3,9,1
1,0,1,1,7.38,43,16.9979,11,44,2,2011,1,3,10,1
1,0,1,1,8.2,40,22.0028,10,51,2,2011,1,3,11,1
1,0,1,1,9.02,35,19.9995,13,61,2,2011,1,3,12,1
1,0,1,1,9.84,35,19.0012,8,61,2,2011,1,3,13,1
1,0,1,1,10.66,30,19.0012,11,77,2,2011,1,3,14,1
1,0,1,1,10.66,30,16.9979,14,72,2,2011,1,3,15,1
1,0,1,1,10.66,30,16.9979,9,76,2,2011,1,3,16,1
1,0,1,1,9.84,30,15.0013,11,157,2,2011,1,3,17,1
1,0,1,1,9.84,32,7.0015,9,157,2,2011,1,3,18,1
1,0,1,1,8.2,47,0.0,8,110,2,2011,1,3,19,1
1,0,1,1,8.2,47,7.0015,3,52,2,2011,1,3,20,1
1,0,1,1,7.38,64,8.9981,3,52,2,2011,1,3,21,1
1,0,1,1,5.74,69,8.9981,0,20,2,2011,1,3,22,1
1,0,1,1,7.38,55,7.0015,1,12,2,2011,1,3,23,1
1,0,1,1,6.56,55,7.0015,0,5,3,2011,1,4,0,1
1,0,1,1,6.56,59,7.0015,0,2,3,2011,1,4,1,1
1,0,1,1,5.74,63,8.9981,0,1,3,2011,1,4,2,1
1,0,1,1,5.74,63,6.0032,0,2,3,2011,1,4,4,1
1,0,1,1,4.92,68,7.0015,0,4,3,2011,1,4,5,1
1,0,1,1,4.92,74,7.0015,0,36,3,2011,1,4,6,1
1,0,1,1,4.92,74,8.9981,2,94,3,2011,1,4,7,1
1,0,1,1,5.74,69,11.0014,2,179,3,2011,1,4,8,1
1,0,1,1,6.56,64,15.0013,2,100,3,2011,1,4,9,1
1,0,1,2,6.56,69,22.0028,5,42,3,2011,1,4,10,1
1,0,1,1,9.02,51,19.9995,7,57,3,2011,1,4,11,1
1,0,1,1,9.02,51,11.0014,12,78,3,2011,1,4,12,1
1,0,1,1,9.84,56,12.998,18,97,3,2011,1,4,13,1
1,0,1,1,10.66,52,15.0013,9,63,3,2011,1,4,14,1
1,0,1,1,11.48,52,16.9979,17,65,3,2011,1,4,15,1
1,0,1,1,12.3,49,16.9979,15,83,3,2011,1,4,16,1
1,0,1,1,11.48,48,15.0013,10,212,3,2011,1,4,17,1
1,0,1,1,10.66,48,12.998,3,182,3,2011,1,4,18,1
1,0,1,1,9.84,48,7.0015,2,112,3,2011,1,4,19,1
1,0,1,1,9.84,48,7.0015,1,54,3,2011,1,4,20,1
1,0,1,1,9.02,64,0.0,0,48,3,2011,1,4,21,1
1,0,1,1,9.02,64,6.0032,1,35,3,2011,1,4,22,1
1,0,1,1,8.2,69,6.0032,2,11,3,2011,1,4,23,1
1,0,1,1,8.2,64,0.0,0,6,4,2011,1,5,0,1
1,0,1,1,6.56,74,6.0032,0,6,4,2011,1,5,1,1
1,0,1,1,6.56,74,6.0032,0,2,4,2011,1,5,2,1
1,0,1,1,9.84,48,15.0013,0,2,4,2011,1,5,4,1
1,0,1,1,9.02,47,11.0014,0,3,4,2011,1,5,5,1
1,0,1,1,8.2,47,15.0013,0,33,4,2011,1,5,6,1
1,0,1,1,7.38,43,12.998,1,88,4,2011,1,5,7,1
1,0,1,1,8.2,40,19.9995,3,195,4,2011,1,5,8,1
1,0,1,1,9.02,37,22.0028,6,115,4,2011,1,5,9,1
1,0,1,1,9.02,37,22.0028,4,57,4,2011,1,5,10,1
1,0,1,1,10.66,33,22.0028,12,46,4,2011,1,5,11,1
1,0,1,1,10.66,33,22.0028,5,79,4,2011,1,5,12,1
1,0,1,1,11.48,30,19.9995,6,71,4,2011,1,5,13,1
1,0,1,1,12.3,28,12.998,10,62,4,2011,1,5,14,1
1,0,1,1,12.3,28,12.998,7,62,4,2011,1,5,15,1
1,0,1,1,12.3,28,6.0032,4,89,4,2011,1,5,16,1
1,0,1,1,9.84,38,12.998,4,190,4,2011,1,5,17,1
1,0,1,1,9.84,38,8.9981,3,169,4,2011,1,5,18,1
1,0,1,1,9.84,38,7.0015,5,132,4,2011,1,5,19,1
1,0,1,1,9.02,47,11.0014,7,89,4,2011,1,5,20,1
1,0,1,1,8.2,51,12.998,3,43,4,2011,1,5,21,1
1,0,1,1,7.38,55,8.9981,1,42,4,2011,1,5,22,1
1,0,1,1,8.2,47,0.0,1,19,4,2011,1,5,23,1
1,0,1,1,7.38,55,0.0,0,11,5,2011,1,6,0,1
1,0,1,1,6.56,64,0.0,0,4,5,2011,1,6,1,1
1,0,1,1,6.56,64,0.0,0,2,5,2011,1,6,2,1
1,0,1,2,6.56,64,6.0032,0,1,5,2011,1,6,4,1
1,0,1,2,5.74,69,6.0032,0,4,5,2011,1,6,5,1
1,0,1,2,5.74,63,7.0015,0,36,5,2011,1,6,6,1
1,0,1,2,6.56,59,0.0,0,95,5,2011,1,6,7,1
1,0,1,1,6.56,59,0.0,3,219,5,2011,1,6,8,1
1,0,1,2,7.38,51,0.0,6,122,5,2011,1,6,9,1
1,0,1,1,8.2,47,0.0,3,45,5,2011,1,6,10,1
1,0,1,1,9.02,44,6.0032,2,59,5,2011,1,6,11,1
1,0,1,1,10.66,35,0.0,6,84,5,2011,1,6,12,1
1,0,1,1,10.66,35,7.0015,12,67,5,2011,1,6,13,1
1,0,1,1,11.48,36,11.0014,11,70,5,2011,1,6,14,1
1,0,1,1,11.48,36,0.0,8,62,5,2011,1,6,15,1
1,0,1,1,10.66,38,11.0014,12,86,5,2011,1,6,16,1
1,0,1,1,9.02,51,11.0014,9,172,5,2011,1,6,17,1
1,0,1,1,9.02,51,8.9981,5,163,5,2011,1,6,18,1
1,0,1,1,9.02,55,6.0032,3,112,5,2011,1,6,19,1
1,0,1,1,8.2,51,11.0014,3,69,5,2011,1,6,20,1
1,0,1,2,9.02,55,15.0013,0,48,5,2011,1,6,21,1
1,0,1,2,9.02,51,19.0012,1,52,5,2011,1,6,22,1
1,0,1,2,8.2,59,12.998,4,23,5,2011,1,6,23,1
1,0,1,2,8.2,64,12.998,4,17,6,2011,1,7,0,1
1,0,1,2,8.2,69,15.0013,2,7,6,2011,1,7,1,1
1,0,1,2,8.2,69,15.0013,0,1,6,2011,1,7,2,1
1,0,1,2,8.2,69,8.9981,0,1,6,2011,1,7,4,1
1,0,1,3,9.02,55,0.0,0,5,6,2011,1,7,5,1
1,0,1,2,8.2,69,0.0,8,34,6,2011,1,7,6,1
1,0,1,1,8.2,69,8.9981,8,84,6,2011,1,7,7,1
1,0,1,1,8.2,51,16.9979,20,210,6,2011,1,7,8,1
1,0,1,1,8.2,47,19.9995,9,134,6,2011,1,7,9,1
1,0,1,1,9.02,37,22.0028,16,63,6,2011,1,7,10,1
1,0,1,2,8.2,40,15.0013,19,67,6,2011,1,7,11,1
1,0,1,2,8.2,37,16.9979,9,59,6,2011,1,7,12,1
1,0,1,2,8.2,37,19.0012,9,73,6,2011,1,7,13,1
1,0,1,2,8.2,40,16.9979,7,50,6,2011,1,7,14,1
1,0,1,2,8.2,37,11.0014,9,72,6,2011,1,7,15,1
1,0,1,2,8.2,37,11.0014,5,87,6,2011,1,7,16,1
1,0,1,2,8.2,37,0.0,9,187,6,2011,1,7,17,1
1,0,1,1,8.2,40,6.0032,7,123,6,2011,1,7,18,1
1,0,1,1,6.56,55,6.0032,3,95,6,2011,1,7,19,1
1,0,1,1,7.38,47,7.0015,1,51,6,2011,1,7,20,1
1,0,1,1,7.38,47,8.9981,0,39,6,2011,1,7,21,1
1,0,1,2,7.38,43,11.0014,2,36,6,2011,1,7,22,1
1,0,1,2,7.38,51,11.0014,1,15,6,2011,1,7,23,1
1,0,0,2,7.38,51,11.0014,1,25,7,2011,1,8,0,1
1,0,0,2,7.38,55,6.0032,1,16,7,2011,1,8,1,1
1,0,0,2,7.38,55,0.0,3,16,7,2011,1,8,2,1
1,0,0,3,7.38,55,11.0014,0,7,7,2011,1,8,3,1
1,0,0,3,7.38,55,11.0014,0,1,7,2011,1,8,4,1
1,0,0,2,6.56,74,11.0014,0,5,7,2011,1,8,5,1
1,0,0,2,6.56,74,11.0014,0,2,7,2011,1,8,6,1
1,0,0,2,6.56,74,7.0015,1,9,7,2011,1,8,7,1
1,0,0,3,6.56,93,7.0015,0,15,7,2011,1,8,8,1
1,0,0,3,6.56,93,7.0015,0,20,7,2011,1,8,9,1
1,0,0,2,7.38,80,11.0014,5,61,7,2011,1,8,10,1
1,0,0,2,8.2,69,26.0027,2,62,7,2011,1,8,11,1
1,0,0,2,8.2,59,23.9994,8,98,7,2011,1,8,12,1
1,0,0,1,8.2,44,22.0028,7,102,7,2011,1,8,13,1
1,0,0,1,8.2,32,32.9975,12,95,7,2011,1,8,14,1
1,0,0,1,8.2,32,30.0026,5,74,7,2011,1,8,15,1
1,0,0,1,7.38,29,30.0026,8,76,7,2011,1,8,16,1
1,0,0,1,6.56,37,36.9974,5,69,7,2011,1,8,17,1
1,0,0,1,5.74,39,19.9995,3,55,7,2011,1,8,18,1
1,0,0,1,5.74,36,16.9979,4,30,7,2011,1,8,19,1
1,0,0,1,4.92,36,16.9979,0,28,7,2011,1,8,20,1
1,0,0,1,4.92,39,23.9994,2,37,7,2011,1,8,21,1
1,0,0,1,4.92,36,26.0027,1,34,7,2011,1,8,22,1
1,0,0,1,4.1,39,30.0026,0,22,7,2011,1,8,23,1
1,0,0,1,4.1,42,26.0027,1,25,8,2011,1,9,0,1
1,0,0,1,4.1,42,31.0009,0,12,8,2011,1,9,1,1
1,0,0,1,4.1,46,31.0009,0,11,8,2011,1,9,2,1
1,0,0,1,4.1,46,27.9993,0,4,8,2011,1,9,3,1
1,0,0,1,3.28,53,12.998,0,1,8,2011,1,9,4,1
1,0,0,1,3.28,53,12.998,0,1,8,2011,1,9,5,1
1,0,0,1,4.1,49,19.0012,0,1,8,2011,1,9,6,1
1,0,0,1,3.28,53,12.998,1,6,8,2011,1,9,7,1
1,0,0,1,4.1,49,19.0012,0,10,8,2011,1,9,8,1
1,0,0,1,4.92,46,35.0008,0,19,8,2011,1,9,9,1
1,0,0,1,5.74,43,26.0027,0,49,8,2011,1,9,10,1
1,0,0,1,6.56,40,35.0008,2,49,8,2011,1,9,11,1
1,0,0,1,7.38,37,30.0026,4,83,8,2011,1,9,12,1
1,0,0,1,8.2,34,30.0026,6,75,8,2011,1,9,13,1
1,0,0,1,9.02,32,31.0009,8,72,8,2011,1,9,14,1
1,0,0,1,9.02,35,23.9994,5,82,8,2011,1,9,15,1
1,0,0,1,8.2,34,30.0026,13,92,8,2011,1,9,16,1
1,0,0,1,7.38,37,26.0027,3,62,8,2011,1,9,17,1
1,0,0,1,6.56,40,22.0028,4,48,8,2011,1,9,18,1
1,0,0,1,6.56,43,22.0028,1,41,8,2011,1,9,19,1
1,0,0,1,5.74,46,16.9979,0,38,8,2011,1,9,20,1
1,0,0,1,5.74,46,27.9993,1,20,8,2011,1,9,21,1
1,0,0,1,5.74,46,19.9995,5,15,8,2011,1,9,22,1
1,0,0,1,4.92,50,12.998,0,6,8,2011,1,9,23,1
1,0,1,1,4.92,50,19.0012,2,5,9,2011,1,10,0,1
1,0,1,1,4.92,50,19.0012,1,1,9,2011,1,10,1,1
1,0,1,1,4.92,50,15.0013,0,3,9,2011,1,10,2,1
1,0,1,1,4.92,50,15.0013,0,1,9,2011,1,10,3,1
1,0,1,1,4.1,54,8.9981,1,3,9,2011,1,10,4,1
1,0,1,1,4.1,54,16.9979,0,3,9,2011,1,10,5,1
1,0,1,1,4.92,50,19.0012,0,31,9,2011,1,10,6,1
1,0,1,1,4.92,50,15.0013,2,77,9,2011,1,10,7,1
1,0,1,2,4.92,50,19.0012,4,188,9,2011,1,10,8,1
1,0,1,2,5.74,50,16.9979,2,94,9,2011,1,10,9,1
1,0,1,2,5.74,50,19.9995,0,31,9,2011,1,10,10,1
1,0,1,2,6.56,47,19.0012,2,30,9,2011,1,10,11,1
1,0,1,2,8.2,40,19.0012,5,52,9,2011,1,10,12,1
1,0,1,2,8.2,40,19.0012,4,54,9,2011,1,10,13,1
1,0,1,2,8.2,40,15.0013,0,47,9,2011,1,10,14,1
1,0,1,2,8.2,40,15.0013,2,45,9,2011,1,10,15,1
1,0,1,1,8.2,40,8.9981,4,74,9,2011,1,10,16,1
1,0,1,1,8.2,40,7.0015,4,178,9,2011,1,10,17,1
1,0,1,1,8.2,40,15.0013,1,155,9,2011,1,10,18,1
1,0,1,1,6.56,47,11.0014,3,95,9,2011,1,10,19,1
1,0,1,1,6.56,50,11.0014,1,74,9,2011,1,10,20,1
1,0,1,1,5.74,59,12.998,1,38,9,2011,1,10,21,1
1,0,1,1,5.74,59,11.0014,2,24,9,2011,1,10,22,1
1,0,1,1,5.74,59,11.0014,0,18,9,2011,1,10,23,1
1,0,1,1,5.74,59,7.0015,2,12,10,2011,1,11,0,1
1,0,1,1,5.74,59,11.0014,0,3,10,2011,1,11,1,1
1,0,1,2,6.56,55,12.998,0,3,10,2011,1,11,2,1
1,0,1,2,6.56,55,8.9981,0,6,10,2011,1,11,5,1
1,0,1,2,6.56,55,8.9981,0,27,10,2011,1,11,6,1
1,0,1,2,6.56,55,0.0,2,99,10,2011,1,11,7,1
1,0,1,2,7.38,51,6.0032,3,217,10,2011,1,11,8,1
1,0,1,2,7.38,51,11.0014,3,130,10,2011,1,11,9,1
1,0,1,2,8.2,51,11.0014,3,54,10,2011,1,11,10,1
1,0,1,2,8.2,47,8.9981,4,35,10,2011,1,11,11,1
1,0,1,2,8.2,51,7.0015,2,57,10,2011,1,11,12,1
1,0,1,2,8.2,59,6.0032,6,52,10,2011,1,11,13,1
1,0,1,2,8.2,59,6.0032,3,63,10,2011,1,11,14,1
1,0,1,2,6.56,80,6.0032,2,47,10,2011,1,11,15,1
1,0,1,2,6.56,86,15.0013,4,76,10,2011,1,11,16,1
1,0,1,2,6.56,86,15.0013,6,136,10,2011,1,11,17,1
1,0,1,3,6.56,93,7.0015,1,95,10,2011,1,11,18,1
1,0,1,3,6.56,93,0.0,0,51,10,2011,1,11,19,1
1,0,1,3,6.56,93,12.998,0,32,10,2011,1,11,20,1
1,0,1,3,6.56,86,6.0032,0,20,10,2011,1,11,21,1
1,0,1,3,6.56,93,7.0015,1,29,10,2011,1,11,22,1
1,0,1,3,6.56,93,6.0032,1,19,10,2011,1,11,23,1
1,0,1,2,6.56,86,6.0032,0,7,11,2011,1,12,0,1
1,0,1,2,6.56,86,7.0015,0,6,11,2011,1,12,1,1
1,0,1,1,5.74,86,8.9981,0,1,11,2011,1,12,2,1
1,0,1,1,5.74,86,11.0014,0,5,11,2011,1,12,5,1
1,0,1,1,4.92,93,8.9981,0,16,11,2011,1,12,6,1
1,0,1,1,5.74,69,8.9981,0,54,11,2011,1,12,7,1
1,0,1,1,6.56,59,11.0014,3,128,11,2011,1,12,8,1
1,0,1,1,6.56,59,22.0028,3,81,11,2011,1,12,9,1
1,0,1,1,7.38,55,15.0013,0,39,11,2011,1,12,10,1
1,0,1,1,8.2,51,26.0027,3,35,11,2011,1,12,11,1
1,0,1,1,8.2,47,39.0007,3,55,11,2011,1,12,12,1
1,0,1,1,9.02,44,23.9994,0,49,11,2011,1,12,13,1
1,0,1,1,8.2,47,22.0028,0,44,11,2011,1,12,14,1
1,0,1,1,8.2,47,27.9993,1,49,11,2011,1,12,15,1
1,0,1,1,9.02,44,22.0028,5,68,11,2011,1,12,16,1
1,0,1,1,8.2,47,23.9994,0,139,11,2011,1,12,17,1
1,0,1,1,8.2,47,35.0008,2,137,11,2011,1,12,18,1
1,0,1,1,7.38,47,27.9993,1,83,11,2011,1,12,19,1
1,0,1,1,6.56,50,22.0028,2,56,11,2011,1,12,20,1
1,0,1,1,6.56,55,22.0028,0,57,11,2011,1,12,21,1
1,0,1,1,6.56,55,30.0026,1,33,11,2011,1,12,22,1
1,0,1,1,5.74,59,27.9993,1,20,11,2011,1,12,23,1
1,0,1,1,5.74,59,19.0012,1,7,12,2011,1,13,0,1
1,0,1,1,5.74,50,19.0012,0,2,12,2011,1,13,1,1
1,0,1,1,5.74,50,23.9994,0,2,12,2011,1,13,2,1
1,0,1,1,5.74,50,22.0028,0,3,12,2011,1,13,3,1
1,0,1,1,5.74,50,16.9979,0,4,12,2011,1,13,4,1
1,0,1,1,5.74,50,19.9995,0,3,12,2011,1,13,5,1
1,0,1,1,4.92,54,8.9981,0,28,12,2011,1,13,6,1
1,0,1,1,4.92,54,8.9981,0,72,12,2011,1,13,7,1
1,0,1,1,5.74,50,12.998,5,202,12,2011,1,13,8,1
1,0,1,1,5.74,50,22.0028,2,139,12,2011,1,13,9,1
1,0,1,2,6.56,50,23.9994,2,38,12,2011,1,13,10,1
1,0,1,2,8.2,44,30.0026,4,37,12,2011,1,13,11,1
1,0,1,1,8.2,44,27.9993,3,52,12,2011,1,13,12,1
1,0,1,1,9.02,41,30.0026,2,83,12,2011,1,13,13,1
1,0,1,1,9.02,41,26.0027,3,42,12,2011,1,13,14,1
1,0,1,1,9.84,38,19.9995,5,60,12,2011,1,13,15,1
1,0,1,1,9.84,38,23.9994,2,78,12,2011,1,13,16,1
1,0,1,1,8.2,40,19.0012,4,162,12,2011,1,13,17,1
1,0,1,1,8.2,40,22.0028,3,144,12,2011,1,13,18,1
1,0,1,1,6.56,47,16.9979,1,99,12,2011,1,13,19,1
1,0,1,1,6.56,47,15.0013,0,64,12,2011,1,13,20,1
1,0,1,1,5.74,46,19.9995,0,40,12,2011,1,13,21,1
1,0,1,1,5.74,46,22.0028,0,30,12,2011,1,13,22,1
1,0,1,1,4.92,50,12.998,1,15,12,2011,1,13,23,1
1,0,1,1,4.92,50,12.998,0,14,13,2011,1,14,0,1
1,0,1,1,4.1,54,11.0014,0,5,13,2011,1,14,1,1
1,0,1,1,4.1,54,8.9981,0,1,13,2011,1,14,2,1
1,0,1,1,4.1,54,7.0015,0,1,13,2011,1,14,3,1
1,0,1,1,4.1,54,6.0032,0,8,13,2011,1,14,5,1
1,0,1,1,4.1,54,0.0,0,17,13,2011,1,14,6,1
1,0,1,1,4.1,74,11.0014,0,70,13,2011,1,14,7,1
1,0,1,1,4.92,68,0.0,2,158,13,2011,1,14,8,1
1,0,1,1,5.74,69,8.9981,0,117,13,2011,1,14,9,1
1,0,1,1,7.38,55,12.998,4,44,13,2011,1,14,10,1
1,0,1,1,7.38,51,19.0012,6,53,13,2011,1,14,11,1
1,0,1,1,8.2,44,16.9979,2,61,13,2011,1,14,12,1
1,0,1,1,9.02,37,26.0027,4,77,13,2011,1,14,13,1
1,0,1,1,9.02,41,19.0012,5,64,13,2011,1,14,14,1
1,0,1,1,9.84,38,11.0014,9,68,13,2011,1,14,15,1
1,0,1,1,9.02,41,7.0015,3,90,13,2011,1,14,16,1
1,0,1,1,9.02,41,11.0014,4,159,13,2011,1,14,17,1
1,0,1,1,8.2,47,0.0,5,139,13,2011,1,14,18,1
1,0,1,1,6.56,59,6.0032,3,92,13,2011,1,14,19,1
1,0,1,1,7.38,59,0.0,0,68,13,2011,1,14,20,1
1,0,1,1,6.56,69,0.0,4,52,13,2011,1,14,21,1
1,0,1,2,6.56,69,0.0,2,36,13,2011,1,14,22,1
1,0,1,2,7.38,55,0.0,1,27,13,2011,1,14,23,1
1,0,0,1,7.38,55,0.0,3,28,14,2011,1,15,0,1
1,0,0,2,6.56,59,6.0032,2,20,14,2011,1,15,1,1
1,0,0,2,6.56,59,6.0032,0,12,14,2011,1,15,2,1
1,0,0,2,6.56,59,0.0,1,8,14,2011,1,15,3,1
1,0,0,2,6.56,59,0.0,0,5,14,2011,1,15,4,1
1,0,0,1,6.56,59,0.0,0,1,14,2011,1,15,5,1
1,0,0,1,5.74,63,7.0015,1,3,14,2011,1,15,6,1
1,0,0,1,5.74,63,0.0,1,10,14,2011,1,15,7,1
1,0,0,1,5.74,63,8.9981,1,23,14,2011,1,15,8,1
1,0,0,1,6.56,64,8.9981,2,33,14,2011,1,15,9,1
1,0,0,1,7.38,59,11.0014,2,59,14,2011,1,15,10,1
1,0,0,1,8.2,55,15.0013,18,72,14,2011,1,15,11,1
1,0,0,1,9.84,48,15.0013,15,89,14,2011,1,15,12,1
1,0,0,1,11.48,38,19.9995,21,101,14,2011,1,15,13,1
1,0,0,1,12.3,39,19.0012,26,118,14,2011,1,15,14,1
1,0,0,2,13.12,36,12.998,21,129,14,2011,1,15,15,1
1,0,0,2,13.94,34,12.998,33,128,14,2011,1,15,16,1
1,0,0,2,13.12,36,19.0012,29,83,14,2011,1,15,17,1
1,0,0,2,12.3,45,16.9979,15,84,14,2011,1,15,18,1
1,0,0,2,13.12,39,16.9979,14,74,14,2011,1,15,19,1
1,0,0,2,13.12,39,16.9979,6,41,14,2011,1,15,20,1
1,0,0,2,13.12,39,15.0013,6,57,14,2011,1,15,21,1
1,0,0,2,12.3,42,7.0015,0,26,14,2011,1,15,22,1
1,0,0,1,12.3,45,19.0012,5,44,14,2011,1,15,23,1
1,0,0,1,10.66,56,0.0,6,39,15,2011,1,16,0,1
1,0,0,1,10.66,56,8.9981,4,23,15,2011,1,16,1,1
1,0,0,1,10.66,56,6.0032,3,16,15,2011,1,16,2,1
1,0,0,1,9.02,69,0.0,9,15,15,2011,1,16,3,1
1,0,0,1,10.66,56,11.0014,0,1,15,2011,1,16,4,1
1,0,0,2,10.66,56,11.0014,1,2,15,2011,1,16,5,1
1,0,0,2,10.66,56,11.0014,0,1,15,2011,1,16,6,1
1,0,0,2,9.84,56,19.9995,0,3,15,2011,1,16,7,1
1,0,0,1,9.02,55,19.0012,0,18,15,2011,1,16,8,1
1,0,0,1,9.02,51,16.9979,3,32,15,2011,1,16,9,1
1,0,0,1,9.02,51,19.0012,8,79,15,2011,1,16,10,1
1,0,0,1,9.84,44,16.9979,23,93,15,2011,1,16,11,1
1,0,0,1,9.84,41,19.0012,29,104,15,2011,1,16,12,1
1,0,0,1,10.66,35,19.9995,23,118,15,2011,1,16,13,1
1,0,0,1,11.48,36,16.9979,22,91,15,2011,1,16,14,1
1,0,0,1,10.66,38,16.9979,35,113,15,2011,1,16,15,1
1,0,0,1,9.84,38,15.0013,22,99,15,2011,1,16,16,1
1,0,0,1,9.02,37,16.9979,23,105,15,2011,1,16,17,1
1,0,0,1,8.2,40,11.0014,11,67,15,2011,1,16,18,1
1,0,0,1,7.38,47,8.9981,14,61,15,2011,1,16,19,1
1,0,0,1,7.38,47,11.0014,7,57,15,2011,1,16,20,1
1,0,0,1,7.38,51,11.0014,6,28,15,2011,1,16,21,1
1,0,0,2,8.2,49,8.9981,2,21,15,2011,1,16,22,1
1,0,0,2,8.2,40,7.0015,0,18,15,2011,1,16,23,1
1,1,0,2,8.2,47,15.0013,1,17,16,2011,1,17,0,1
1,1,0,2,8.2,44,12.998,1,16,16,2011,1,17,1,1
1,1,0,2,7.38,43,16.9979,0,8,16,2011,1,17,2,1
1,1,0,2,7.38,43,12.998,0,2,16,2011,1,17,3,1
1,1,0,2,7.38,43,8.9981,1,3,16,2011,1,17,4,1
1,1,0,2,7.38,43,11.0014,0,1,16,2011,1,17,5,1
1,1,0,2,7.38,43,12.998,0,5,16,2011,1,17,6,1
1,1,0,2,6.56,50,8.9981,4,13,16,2011,1,17,7,1
1,1,0,2,6.56,47,15.0013,3,33,16,2011,1,17,8,1
1,1,0,2,6.56,47,15.0013,8,47,16,2011,1,17,9,1
1,1,0,2,6.56,50,16.9979,7,57,16,2011,1,17,10,1
1,1,0,2,6.56,55,12.998,9,64,16,2011,1,17,11,1
1,1,0,2,7.38,47,8.9981,10,80,16,2011,1,17,12,1
1,1,0,2,7.38,47,8.9981,13,93,16,2011,1,17,13,1
1,1,0,2,7.38,43,7.0015,12,86,16,2011,1,17,14,1
1,1,0,2,8.2,47,11.0014,21,93,16,2011,1,17,15,1
